season,title,rating,votes,double,episode,month,director,writer
8,Pool Party,8.0,3162,0,12,1,,
8,Jury Duty,7.4,2860,0,13,2,,
8,Special Project,7.6,2784,0,14,2,,
8,Tallahassee,7.8,2936,0,15,2,,
8,After Hours,8.1,3045,0,16,2,,
8,Test the Store,7.8,2899,0,17,3,,
8,Last Day in Florida,7.8,2829,0,18,3,,
8,Get the Girl,6.4,3320,0,19,3,,
8,Welcome Party,7.0,2919,0,20,4,,
8,Angry Andy,6.8,3170,0,21,4,,
8,Fundraiser,7.0,2809,0,22,4,,
8,Turf War,7.6,2724,0,23,5,,
8,Free Family Portrait Studio,7.7,2842,0,24,5,,
9,New Guys,7.5,3054,0,1,9,,
9,Roy's Wedding,7.1,2917,0,2,9,,
9,Andy's Ancestry,7.3,2873,0,3,10,,
9,Work Bus,7.8,3063,0,4,10,,
9,Here Comes Treble,6.9,2968,0,5,10,,
9,The Boat,7.7,2908,0,6,11,,
9,The Whale,7.6,2782,0,7,11,,
9,The Target,7.8,2911,0,8,11,,
9,Dwight Christmas,8.4,3280,0,9,12,,
9,Lice,7.6,2880,0,10,1,,
9,Suit Warehouse,7.8,2827,0,11,1,,
9,Customer Loyalty,7.9,2918,0,12,1,,
9,Junior Salesman,7.5,2765,0,13,1,,
9,Vandalism,7.4,2774,0,14,1,,
9,Couples Discount,7.2,2828,0,15,2,,
9,Moving On,8.0,3065,0,16,2,,
9,The Farm,7.5,3231,0,17,3,,
9,Promos,8.0,2857,0,18,4,,
9,Stairmageddon,8.0,2961,0,19,4,,
9,Paper Airplane,8.0,3040,0,20,4,,
9,Livin' the Dream,9.1,4448,0,21,5,,
9,A.A.R.M.,9.5,5930,1,22,5,,
9,Finale,9.8,15245,1,24,5,,
